AS, Prefix, Max Length, Announced/Not Announced, Organization, RIR
16509,52.64.0.0/12,24,Yes,Amazon Technologies Inc.,arin
16509,98.80.0.0/12,24,No,Amazon.com  Inc.,arin
7922,96.64.0.0/11,11,Yes,Comcast Cable Communications  LLC,arin
16509,54.176.0.0/12,24,Yes,Amazon.com  Inc.,arin
8987,54.176.0.0/12,24,Yes,Amazon.com  Inc.,arin
8987,54.160.0.0/12,24,Yes,Amazon Technologies Inc.,arin
13489,181.128.0.0/12,12,Yes,EPM Telecomunicaciones S.A. E.S.P.,lacnic
14618,3.128.0.0/10,24,Yes,Amazon Technologies Inc.,arin
16509,35.80.0.0/12,24,Yes,Amazon.com  Inc.,arin
4713,153.192.0.0/11,11,Yes,Open Computer Network,apnic
8987,3.192.0.0/10,24,Yes,Amazon Technologies Inc.,arin
8075,20.192.0.0/10,10,Yes,Microsoft Corporation,arin
9121,78.160.0.0/11,24,Yes,TurkTelekom,ripe
9121,88.224.0.0/11,24,Yes,TurkTelekom,ripe
9121,95.0.0.0/12,24,Yes,ttnet_as_alsat_metro_ethernet,ripe
9121,85.96.0.0/12,24,Yes,TurkTelekom,ripe
14618,35.160.0.0/12,24,Yes,Amazon.com  Inc.,arin
8987,3.64.0.0/10,24,Yes,A100 ROW GmbH,arin
8987,34.192.0.0/10,24,Yes,Amazon Technologies Inc.,arin
4713,153.128.0.0/10,10,Yes,Open Computer Network,apnic
7922,73.0.0.0/8,8,Yes,Comcast Cable Communications  LLC,arin
12874,93.32.0.0/12,12,Yes,FASTWEB-PAT,ripe
8987,54.176.0.0/12,24,Yes,Amazon.com  Inc.,arin
33771,196.96.0.0/12,24,Yes,SAFARICOM-PUBLIC-POOL,afrinic
7922,174.160.0.0/11,11,Yes,Comcast Cable Communications  LLC,arin
8987,34.192.0.0/10,24,Yes,Amazon Technologies Inc.,arin
16509,54.144.0.0/12,24,Yes,Amazon Data Services NoVa,arin
14618,54.176.0.0/12,24,Yes,Amazon.com  Inc.,arin
14618,52.192.0.0/12,24,Yes,Amazon Data Services Japan,arin
7922,98.32.0.0/11,11,Yes,Comcast Cable Communications  LLC,arin
8987,35.80.0.0/12,24,Yes,Amazon.com  Inc.,arin
7922,69.240.0.0/12,12,Yes,Comcast Cable Communications  LLC,arin
14618,3.0.0.0/10,24,Yes,Amazon Data Services Singapore,arin
8987,54.224.0.0/12,24,Yes,Amazon Technologies Inc.,arin
